            Zeit	 VehicleSpeed_HS
               s	             kph
     2044.020000	        5.940000
     2044.040000	        5.930000
     2044.060000	        5.920000
     2044.080000	        5.900000
     2044.100000	        5.900000
     2044.120000	        5.890000
     2044.140000	        5.890000
     2044.160000	        5.870000
     2044.180000	        5.840000
     2044.200000	        5.830000
     2044.220000	        5.810000
     2044.240000	        5.790000
     2044.260000	        5.780000
     2044.280000	        5.760000
     2044.300000	        5.750000
     2044.320000	        5.740000
     2044.340000	        5.740000
     2044.360000	        5.730000
     2044.380000	        5.730000
     2044.400000	        5.720000
     2044.420000	        5.710000
     2044.440000	        5.710000
     2044.460000	        5.690000
     2044.480000	        5.690000
     2044.500000	        5.680000
     2044.520000	        5.660000
     2044.540000	        5.630000
     2044.560000	        5.620000
     2044.580000	        5.600000
     2044.600000	        5.580000
     2044.620000	        5.570000
     2044.640000	        5.550000
     2044.660000	        5.530000
     2044.680000	        5.510000
     2044.700000	        5.500000
     2044.720000	        5.470000
     2044.740000	        5.450000
     2044.760000	        5.420000
     2044.780000	        5.400000
     2044.800000	        5.380000
     2044.820000	        5.350000
     2044.840000	        5.310000
     2044.860000	        5.280000
     2044.880000	        5.270000
     2044.900000	        5.240000
     2044.920000	        5.190000
     2044.940000	        5.160000
     2044.960000	        5.140000
     2044.980000	        5.110000
     2045.000000	        5.060000
     2045.020000	        5.020000
     2045.040000	        5.000000
     2045.060000	        4.970000
     2045.080000	        4.920000
     2045.100000	        4.880000
     2045.120000	        4.860000
     2045.140000	        4.820000
     2045.160000	        4.770000
     2045.180000	        4.740000
     2045.200000	        4.700000
     2045.220000	        4.660000
     2045.240000	        4.620000
     2045.260000	        4.580000
     2045.280000	        4.540000
     2045.300000	        4.480000
     2045.320000	        4.430000
     2045.340000	        4.370000
     2045.360000	        4.310000
     2045.380000	        4.240000
     2045.400000	        4.180000
     2045.420000	        4.130000
     2045.440000	        4.060000
     2045.460000	        3.980000
     2045.480000	        3.910000
     2045.500000	        3.830000
     2045.520000	        3.770000
     2045.540000	        3.720000
     2045.560000	        3.640000
     2045.580000	        3.570000
     2045.600000	        3.510000
     2045.620000	        3.440000
     2045.640000	        3.390000
     2045.660000	        3.330000
     2045.680000	        3.280000
     2045.700000	        3.240000
     2045.720000	        3.170000
     2045.740000	        3.110000
     2045.760000	        3.060000
     2045.780000	        3.010000
     2045.800000	        2.960000
     2045.820000	        2.920000
     2045.840000	        2.880000
     2045.860000	        2.830000
     2045.880000	        2.790000
     2045.900000	        2.750000
     2045.920000	        2.710000
     2045.940000	        2.680000
     2045.960000	        2.640000
     2045.980000	        2.610000
     2046.000000	        2.590000
     2046.020000	        2.560000
     2046.040000	        2.550000
     2046.060000	        2.520000
     2046.080000	        2.510000
     2046.100000	        2.490000
     2046.120000	        2.480000
     2046.140000	        2.460000
     2046.160000	        2.460000
     2046.180000	        2.450000
     2046.200000	        2.440000
     2046.220000	        2.430000
     2046.240000	        2.420000
     2046.260000	        2.410000
     2046.280000	        2.400000
     2046.300000	        2.410000
     2046.320000	        2.390000
     2046.340000	        2.380000
     2046.360000	        2.350000
     2046.380000	        2.310000
     2046.400000	        2.260000
     2046.420000	        2.210000
     2046.440000	        2.160000
     2046.460000	        2.100000
     2046.480000	        2.050000
     2046.500000	        2.010000
     2046.520000	        1.940000
     2046.540000	        1.910000
     2046.560000	        1.840000
     2046.580000	        1.770000
     2046.600000	        1.730000
     2046.620000	        1.650000
     2046.640000	        1.590000
     2046.660000	        1.580000
     2046.680000	        1.550000
     2046.700000	        1.520000
     2046.720000	        1.530000
     2046.740000	        1.520000
     2046.760000	        1.500000
     2046.780000	        1.490000
     2046.800000	        1.470000
     2046.820000	        1.470000
     2046.840000	        1.470000
     2046.860000	        1.470000
     2046.880000	        1.480000
     2046.900000	        1.480000
     2046.920000	        1.480000
     2046.940000	        1.480000
     2046.960000	        1.480000
     2046.980000	        1.460000
     2047.000000	        1.440000
     2047.020000	        1.440000
     2047.040000	        1.430000
     2047.060000	        1.410000
     2047.080000	        1.410000
     2047.100000	        1.400000
     2047.120000	        1.380000
     2047.140000	        1.370000
     2047.160000	        1.360000
     2047.180000	        1.350000
     2047.200000	        1.330000
     2047.220000	        1.320000
     2047.240000	        1.310000
     2047.260000	        1.280000
     2047.280000	        1.270000
     2047.300000	        1.260000
     2047.320000	        1.240000
     2047.340000	        1.220000
     2047.360000	        1.210000
     2047.380000	        1.210000
     2047.400000	        1.190000
     2047.420000	        1.170000
     2047.440000	        1.160000
     2047.460000	        1.160000
     2047.480000	        1.130000
     2047.500000	        1.120000
     2047.520000	        1.120000
     2047.540000	        1.110000
     2047.560000	        1.090000
     2047.580000	        1.080000
     2047.600000	        1.070000
     2047.620000	        1.070000
